SMILES,shift_value,shielding_value
CC1CC(S(N)(=O)=O)CNC1C(F)(F)F,-65.45,280.3013333
[H]/C(=N\O)C(F)(F)F,-65.5,275.3236667
CC1CC(CN2NC(C(F)(F)F)NC2C)NO1,-65.51,285.521
O=S(=O)(CCC(F)(F)F)N1CCOCC2(CC2)C1,-65.55,277.0873333
FC(F)(F)CI,-65.6,274.5886667
CC1NC(C(F)(F)F)CCC1O,-65.61,286.2483333
O=C(C1CCC(-C2NOC(C(F)(F)F)N2)CC1)N1CCC1,-65.67,288.911
[H]C([H])=C(C(F)(F)F)C(F)(F)F,-65.7,271.6103333
CC1NC(C(F)(F)F)CCC1N,-65.72,278.1313333
CC(=O)NC1(C2NOC(C(F)(F)F)N2)CCCCCC1,-65.76,289.9333333
CC1NC(CN2CCCC(C(F)(F)F)C2=O)NO1,-65.9,276.7973333
CC1(C)C(C(F)(F)F)CCN1CC(N)=O,-65.93,275.4466667
O=C1CC(C(F)(F)F)CN[NH]1,-65.95,283.1303333
F/C(Br)=C/C1=CC=CC=C1,-66.0,250.273
NCCC(F)(F)F,-66.0,273.9043333
