SMILES,shift_value,split
O=C(O)C1COC(C(F)F)C1,-114.92,Train
O=C(NC1CC(C(F)(F)F)CCN1)C1CSCN1,-64.85,Train
O=C1NC(=O)N(CC(F)(F)F)C1=O,-72.78,Train
N#CC1=CC=C(F)C=C1,-104.0,Train
CC1NOC(NC(=O)C2CCCC(C(F)(F)F)C2)N1,-62.36,Train
[H]C1=CC=C(SC(F)F)C=C1,-90.0,Train
FC(F)C1CCN(C2CNCCN2)CC1,-124.08,Train
CN1NNC(CO)C1C(F)F,-116.1,Train
CCC1CCNC(C(=O)N2CC(CF)C2)C1,-228.22,Train
CC1CC(O)NC(C(F)(F)F)N1,-71.09,Train
Cl.OC1(C(F)F)CNC1,-134.79,Train
FC1=NC=CC=N1,-44.0,Train
FC1=CSC=C1,-131.0,Train
CC1C(N2C(=O)CN(C3CC3)C2=O)CCCC1C(F)(F)F,-60.98,Train
CC1(C)CCN(C2NCC(C(F)F)CN2)C1,-110.58,Train
[H]/C(CCCC)=C(/[H])C(F)(F)F,-59.0,Train
O=S(=O)(C1CC1)N1CCC[C@@H]1C(F)F,-125.87,Train
[H]C1=NC(C(F)(F)F)=NC([H])=C1[H],-71.0,Train
Cl.N=C1SCCN1CC1CCCCC1F,-117.54,Train
O=C1[NH]CNC2C(C(F)(F)F)CCCC12,-59.99,Train
[H]C(F)(CCCCCCCC)OC(C)=O,-129.0,Train
O=C(N[C@H]1C[C@@H]1C(F)F)C1CCCCC1,-115.79,Train
FC(F)(F)C1=C(C(F)(F)F)C(C(F)(F)F)=C(C(F)(F)F)C(C(F)(F)F)=C1C(F)(F)F,-52.3,Train
CC1NOC(C)C1NC(=O)C1CCCCC1C(F)(F)F,-58.88,Train
FC(F)COC1CCC(Cl)CN1,-126.59,Train
C[Si](C)(C)F,-158.0,Train
CC1CC(C(=O)O)C(C(F)(F)F)O1,-61.73,Train
OC1(C(F)(F)F)CCN(CC2CC=CCC2)CC1,-84.34,Train
O=C(C1CCC(OC(F)F)CN1)N1CCC1,-82.9,Train
FC(F)(Br)C1=CC=CC=C1,-44.0,Train
C=CC(=C)F,-120.0,Train
CC1(C)C(C(F)(F)F)CCN1C(=O)C1CCC(O)NC1,-64.93,Train
CC1CC(CNC2CCNCC2F)C(C)O1,-151.11,Train
O=C1CC(C(F)(F)F)=NC2CCCCC2N1,-73.42,Train
COC1CCN(C2CCCC(C(F)F)C2C#N)CC1,-112.37,Train
N#CC(F)C1=CC=CC=C1,-168.0,Train
O=C(NC1CCCCC1)C(=O)N1CCCC(F)(CO)C1,-168.14,Train
CN1CCC(C(=O)N2CCCC(C(F)(F)F)C2)CC1=O,-71.47,Train
[H]/C(C1=CC=C(C)C=C1)=C(/[H])C(F)(F)F,-64.0,Train
CC(C(=O)N1C[C@@H](F)C[C@H]1CO)N1CCCN1,-170.13,Train
O=C(O)C1N[NH]CC1F,-171.91,Train
O=C(C1CCNCC1)N1CCC[C@@H]1C(F)F,-126.04,Train
CC1CCNC(N2CC(CF)C2)C1C#N,-227.37,Train
O=S(=O)(Cl)C(F)(F)F,-76.0,Train
O=S1(=O)CCC[C@@]2(C(F)(F)F)CNC[C@H]21,-73.25,Train
CC1(F)CCCN(C(=O)CC2CCCO2)C1,-151.94,Train
O=C(CC1CCCCC1C(F)(F)F)N1CCCNCC1,-59.95,Train
COC1CCNCC1NC(=O)C1(C)CC1F,-211.04,Train
CC1CCCCC1C1(C(=O)N2CCOC(C(F)F)C2)CC1,-130.73,Train
N#CCC(=O)N1CCN(CC(F)F)CC1,-119.95,Train
N#CC1CCCC(CN2CC(C(F)(F)F)C2)C1,-72.13,Train
[H]C1=C([H])N(C)N=C1F,-129.0,Train
O=C(CN1CCCN1)N1CCCC1CF,-220.05,Train
CC1CCCNC1CN1CCCC(C(F)(F)F)C1=O,-65.28,Train
O=C(O)C1CCC(C(F)(F)F)O1,-64.65,Train
CS(=O)C(F)(F)F,-80.0,Train
F/C(Cl)=C(/F)Cl,-106.0,Train
CS(=O)(=O)N1CCC(O)(C(F)(F)F)C1,-80.14,Train
FC(F)(OC1=CC=CC=C1)C1=CC=CC=C1,-66.0,Train
N#CC1CCC(CN2CCCC(C(F)(F)F)C2=O)CC1,-65.37,Train
CSC1=NC(=O)C=CN1C(F)F,-107.0,Train
CCCCC1=C(F)N(C)N=C1C,-139.0,Train
O[C@H]1CCN(C2CCCC(C(F)(F)F)N2)C1,-67.84,Train
CC1CCOC1CN1C[C@H](F)C[C@H]1C(N)=O,-170.31,Train
FC1=C(C2=CC=CC=C2)OC=C1,-165.0,Train
O=C(O)[C@@H]1CCCN[C@@H]1C(F)(F)F,-70.34,Train
C/C=C/C(C)(F)F,-84.0,Train
FCC1CCN(C2NCC(Cl)CN2)CC1,-223.15,Train
CC(C)(O)CN1CC(C(F)(F)F)CC(Cl)C1=O,-61.54,Train
O=C(N[C@H]1C[C@@H]1C(F)F)C1CNNC2CCCCC12,-116.34,Train
[H]C(=O)C1=CC=C(F)N1[H],-130.0,Train
FC1=CN=CC(F)=C1,-124.0,Train
CCOC(=O)C(F)(F)C(=O)C1=CC=CC=C1,-108.0,Train
CC1(C)C(C(F)(F)F)CCN1CC(N)=O,-65.93,Train
O=C1CCC(C(F)(F)F)NN1CC1NCCS1,-67.24,Train
OCC1CNN(CCF)C1,-221.96,Train
O=C(O)C1=CC2CCCCC2OC1C(F)F,-130.25,Train
CCC(C)(F)F,-93.0,Train
CCCC/C=C/C(F)(F)C(=O)OCC,-98.0,Train
CC(=O)N[C@H]1CCCC[C@H]1CC(F)(F)F,-63.56,Train
CN1CNNC1NC(=O)C1CCC(C(F)(F)F)CC1,-62.69,Train
O=S(=O)(C1=CC=CC=C1)C(F)(F)F,-78.0,Train
N#CCCN1CC=C(C(F)(F)F)CC1,-69.23,Train
CC1CC(C(=O)N2C[C@H](F)C[C@H]2C(N)=O)CO1,-177.96,Train
[H]/C(C1=CC=CC=C1)=C(/[H])C(F)(F)F,-63.0,Train
OC1CC(C(F)(F)F)NCN1,-70.86,Train
CC1CSC(NC(=O)NC2CNN(C)C2C(F)F)N1,-113.59,Train
CCF,-212.0,Train
CC(C)(F)C(=O)C1=CC=CC=C1,-144.0,Train
Cl.NCC1CCN(CC(F)(F)F)N1,-71.79,Train
FC1=C2C=CC=NC2=CC=C1,-123.0,Train
