SMILES,shift_value,shielding_value,recomputed_shielding_value,delta_sigma
N#CCCN1NC(-C2CCC(F)CC2)CCC1=O,-111.43,399.943,398.37445341968095,-1.5685465803190368
CC1CCCN1C(=O)CN1CNC2CCC(F)CC2C1=O,-111.44,392.166,408.0380244382692,15.872024438269191
CC1CC(F)CC(S(=O)(=O)NC2(C)CC2)C1,-111.47,378.675,393.6157843895738,14.940784389573764
O=C(NCC1NCCCN1)C1CCC(Cl)CC1F,-111.51,387.959,401.75632682164985,13.797326821649849
COC1CC(F)CC(NC(=O)N2CCOCC2)C1,-111.57,393.832,393.7675386094956,-0.0644613905044479
CC1NSCC1C(=O)N(C)C1CCCC(F)C1,-111.63,378.016,384.8823455182893,6.866345518289279
N#CC1CC(F)CCC1CN1CNC(C2CCC2)CC1=O,-111.64,401.44,392.8699410454896,-8.570058954510444
CC(O)C1CCCCN1CC1CCC(F)CC1C#N,-111.65,401.055,394.3214305805176,-6.733569419482421
CC1CC(NC(=O)NC2CC2)NN1-C1CCCC(F)C1,-111.68,384.574,408.25577326082856,23.68177326082855
Cl.O=C1CNCCN1C1CCCC(F)C1,-111.69,381.415,388.1971865850415,6.782186585041472
COC1CC(F)CC(CN2CC[C@@H](O)C2)C1,-111.7,392.19,402.00337982428624,9.813379824286244
CC1CCOCCN1C(=O)C(=O)NC1CCCC(F)C1,-111.71,398.704,392.5080933424344,-6.195906657565672
CN1NCCC1C(=O)N1CCNCC1C1CCCC(F)C1,-111.72,378.877,398.88078458368255,20.003784583682545
O=S(=O)(NCC1CCCO1)C1CCCCC1F,-111.74,381.333,396.0154212796881,14.682421279688072
CCN1CCCN(C(=O)C(=O)NC2CCCC(F)C2)CC1,-111.74,381.944,392.6661736652224,10.722173665222384
CN1CCC(OC2CCCC(F)C2)C1=O,-111.74,390.966,395.9455235801197,4.9795235801196895
Cl.FC1CCCC(OC2CCNCC2)C1,-111.76,388.125,391.15887997970896,3.0338799797089564
CC1CC(F)CCC1C(=O)N1CCC(C)S(=O)(=O)CC1,-111.77,367.316,392.4879493096335,25.171949309633533
CCC1NNSC1C(=O)NC1CCCC(F)C1,-111.77,371.169,387.70992737778494,16.540927377784953
CN1CN(C(=O)C2CCCC(F)C2)CC1=O,-111.77,398.428,390.3334025355129,-8.094597464487094
O=C(NC1CCCC1)C1CC(F)CCC1-N1CCNC1,-111.78,392.315,388.2816057669224,-4.033394233077559
CC1N[NH]C(=O)C(C(=O)NC2CCCC(F)C2)C1C,-111.81,378.323,393.79226146519375,15.469261465193767
FC1CCC2NCNC(NC3CC3)C2C1,-111.85,379.543,403.2761331666678,23.73313316666781
CCN1CCC(N(C)C(=O)C2CCCC(F)C2)CC1,-111.86,388.35,396.5179454882274,8.16794548822736
CC1CCN(C(=O)COC2CCCC(F)C2)CC1,-111.86,389.152,394.9314108802858,5.779410880285809
O=C(NC1CC(F)CCC1-N1CCCN1)N1CCCC1,-111.86,390.251,397.8681499074165,7.617149907416547
CC1CC(C(=O)NCC2N[NH]C(=O)[NH]2)CCC1F,-111.89,392.219,405.0503313210944,12.83133132109441
CN1CCCC1C1COCCN1C(=O)C1CCCC(F)C1,-111.93,384.994,395.96430625886507,10.970306258865037
CCN(C1CCCC(F)C1)S(=O)(=O)C1CN[NH]C1,-111.94,381.404,390.8620929995807,9.458092999580686
O=C(O)C1CCC(=O)N(C2CCCC(F)C2)C1,-111.96,397.934,405.3523966153893,7.41839661538927
CC1NN(-C2CCC(F)CC2)C(N)C1C#N,-111.97,388.293,398.24895685000047,9.955956850000462
COC1NCCCC1C(=O)NC1CCCC(F)C1,-111.99,377.991,402.55989394797393,24.568893947973947
[H]/C(F)=C(/[H])C(=O)OCCCCCCCCCCCC,-112.0,287.485,287.61706139512245,0.1320613951224345
CCCCCCC(F)SC,-112.0,365.221,390.1929038419424,24.971903841942435
CNS(=O)(=O)C1CCC(C(=O)NC2CCCC(F)C2)O1,-112.01,368.195,381.8755512938168,13.68055129381679
CCN1CC(NC(=O)C2CCC(Cl)CC2F)CCC1=O,-112.02,389.366,386.8694452049032,-2.496554795096813
