feature,importance
Morgan_798,0.00011784526390881931
Morgan_825,0.00011770839772318713
ECFP_F_696,0.00011765890984248171
Morgan_757,0.00011761541333395371
Morgan_282,0.00011737933274509285
Morgan_300,0.00011727667057279143
Morgan_484,0.00011653611286411941
Morgan_549,0.00011617491167573541
Morgan_428,0.00011579005084069364
Morgan_846,0.00011576316729886397
Morgan_930,0.0001156149013809294
Morgan_455,0.00011558402022598392
Morgan_619,0.00011556171761078307
Morgan_479,0.00011548708165898569
ECFP_F_322,0.00011511079945016354
Morgan_866,0.00011383019697957905
ECFP_F_758,0.0001133819431848606
Morgan_503,0.00011279586407087554
Morgan_474,0.0001122848596260441
Morgan_860,0.00011186294689097015
Morgan_767,0.00011180710617335133
Morgan_781,0.00011156910497371276
Morgan_1017,0.00011154880040291456
Morgan_218,0.00011138399001761745
Morgan_416,0.00011132553684176301
Morgan_712,0.00011130188018283308
Morgan_962,0.0001112220164406686
Morgan_145,0.00011114058550545847
Morgan_403,0.0001107821898493778
Morgan_82,0.00011074804747754135
Morgan_993,0.00011029850302852266
Morgan_137,0.00011022175725755403
ECFP_F_1023,0.00011016382940778626
Morgan_638,0.00010968306761221157
Morgan_722,0.00010964083563588822
ECFP_F_253,0.00010952228717429743
Morgan_43,0.0001086972085803484
ECFP_F_159,0.00010857903794630425
Morgan_6,0.00010848944067383593
ECFP_F_945,0.00010837409514858285
Morgan_486,0.00010794369491412178
Morgan_753,0.00010780915497318784
ECFP_F_736,0.00010773841890889697
Morgan_271,0.00010762313714869786
Morgan_560,0.00010728793104414859
Morgan_184,0.00010622188711780153
Morgan_351,0.00010545189150721343
Morgan_831,0.00010509509532943266
Morgan_898,0.00010499073825933619
Morgan_1021,0.0001048362337501141
MACCS_24,0.00010457218364101792
Morgan_828,0.0001044100013385318
ECFP_F_762,0.00010437686459328774
Morgan_287,0.00010434062449509746
Morgan_384,0.0001040428879685102
ECFP_F_409,0.00010394993444949213
Morgan_669,0.00010382540722034583
Morgan_477,0.00010380118594823565
MACCS_89,0.0001034364526870749
ECFP_F_345,0.00010315482511651198
Morgan_716,0.00010306631100407216
ECFP_F_883,0.00010274329589622861
Morgan_608,0.00010269079994180924
ECFP_F_160,0.00010266397856569098
Morgan_553,0.00010256020086877766
Morgan_380,0.00010224117486345797
Morgan_785,0.00010216697862441471
Morgan_247,0.00010211667278848871
Morgan_13,0.00010143880029989686
Morgan_332,0.00010123517304318711
Morgan_593,0.00010061287377376054
Morgan_777,0.00010058600844860903
Morgan_579,0.00010058587701195769
Morgan_234,0.00010035882021291207
ECFP_F_192,0.00010028494653838671
Morgan_14,0.00010020511065378111
Morgan_157,9.982239466362668e-05
Morgan_667,9.948965645452898e-05
ECFP_F_80,9.948086002037896e-05
Morgan_551,9.909616415714182e-05
Morgan_297,9.90703838564978e-05
Morgan_201,9.906090435244492e-05
Morgan_787,9.90188224027326e-05
ECFP_F_550,9.863840502972727e-05
Morgan_738,9.852541005613161e-05
Morgan_437,9.820156924405154e-05
Morgan_176,9.811952229340926e-05
Morgan_406,9.797771300941162e-05
Morgan_454,9.789868683661844e-05
Morgan_369,9.779885879098322e-05
ECFP_F_809,9.779371676475682e-05
Morgan_611,9.70640327725309e-05
ECFP_F_470,9.684023959986937e-05
Morgan_243,9.663438582569767e-05
Morgan_996,9.636621432898039e-05
Morgan_276,9.635744188542613e-05
Morgan_17,9.612126540702498e-05
Morgan_574,9.574499193183307e-05
Morgan_326,9.514079611445329e-05
Morgan_11,9.504273045162563e-05
Morgan_927,9.490052943305458e-05
